No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
243,KAEF,Kimia Farma Tbk.,04 Jul 2001,5.566.589.577,Pengembangan
244,KARW,Meratus Jasa Prima Tbk.,20 Des 1994,587.152.700,Pemantauan Khusus
245,KBLI,KMI Wire & Cable Tbk.,06 Jul 1992,4.007.235.107,Utama
246,KBLM,Kabelindo Murni Tbk.,01 Jun 1992,1.120.000.000,Pengembangan
247,KBLV,First Media Tbk.,25 Feb 2000,1.742.167.907,Pengembangan
248,KBRI,Kertas Basuki Rachmat Indonesi,11 Jul 2008,8.687.995.734,Pemantauan Khusus
249,KDSI,Kedawung Setia Industrial Tbk.,29 Jul 1996,1.620.000.000,Pengembangan
250,KIAS,Keramika Indonesia Assosiasi T,08 Des 1994,14.929.100.000,Pemantauan Khusus
251,KICI,Kedaung Indah Can Tbk,28 Okt 1993,276.000.000,Pengembangan
252,KIJA,Kawasan Industri Jababeka Tbk.,10 Jan 1995,20.824.888.369,Utama
253,KKGI,Resource Alam Indonesia Tbk.,01 Jul 1991,5.000.000.000,Utama
254,KLBF,Kalbe Farma Tbk.,30 Jul 1991,46.813.391.540,Utama
255,KOBX,Kobexindo Tractors Tbk.,05 Jul 2012,2.272.500.000,Pengembangan
256,KOIN,Kokoh Inti Arebama Tbk,09 Apr 2008,980.843.732,Pemantauan Khusus
257,KONI,Perdana Bangun Pusaka Tbk,22 Agt 1995,312.000.000,Pengembangan
258,KOPI,Mitra Energi Persada Tbk.,04 Mei 2015,697.266.668,Pengembangan
259,KPIG,MNC Tourism Indonesia Tbk.,30 Mar 2000,99.857.559.263,Utama
260,KRAS,Krakatau Steel (Persero) Tbk.,10 Nov 2010,19.346.396.900,Pengembangan
261,KREN,Quantum Clovera Investama Tbk.,28 Jun 2002,18.208.470.100,Pemantauan Khusus
262,LAPD,Leyand International Tbk.,17 Jul 2001,3.966.350.139,Pengembangan
263,LCGP,Eureka Prima Jakarta Tbk.,13 Jul 2007,5.630.000.914,Pemantauan Khusus
264,LEAD,Logindo Samudramakmur Tbk.,11 Des 2013,5.799.616.328,Pengembangan
265,LINK,Link Net Tbk.,02 Jun 2014,2.863.195.484,Pengembangan
266,LION,Lion Metal Works Tbk.,20 Agt 1993,520.160.000,Pengembangan
267,LMAS,Limas Indonesia Makmur Tbk,28 Des 2001,787.851.525,Pemantauan Khusus
268,LMPI,Langgeng Makmur Industri Tbk.,17 Okt 1994,1.008.517.669,Pengembangan
269,LMSH,Lionmesh Prima Tbk.,04 Jun 1990,96.000.000,Pemantauan Khusus
270,LPCK,Lippo Cikarang Tbk,24 Jul 1997,5.134.685.692,Pengembangan
271,LPGI,Lippo General Insurance Tbk.,22 Jul 1997,3.000.000.000,Pengembangan
272,LPIN,Multi Prima Sejahtera Tbk,05 Feb 1990,425.000.000,Pengembangan
273,LPKR,Lippo Karawaci Tbk.,28 Jun 1996,70.898.018.369,Utama
274,LPLI,Star Pacific Tbk,23 Okt 1989,1.170.432.803,Pengembangan
275,LPPF,Matahari Department Store Tbk.,09 Okt 1989,2.258.279.280,Utama
276,LPPS,Lenox Pasifik Investama Tbk.,28 Mar 1994,2.588.250.000,Pengembangan
277,LRNA,Eka Sari Lorena Transport Tbk.,15 Apr 2014,350.000.022,Pengembangan
278,LSIP,PP London Sumatra Indonesia Tb,05 Jul 1996,6.819.963.965,Utama
279,LTLS,Lautan Luas Tbk.,21 Jul 1997,1.560.000.000,Utama
280,MAGP,Multi Agro Gemilang Plantation,16 Jan 2013,9.000.000.004,Pemantauan Khusus
281,MAIN,Malindo Feedmill Tbk.,10 Feb 2006,2.238.750.000,Utama
282,MAPI,Mitra Adiperkasa Tbk.,10 Nov 2004,16.600.000.000,Utama
283,MAYA,Bank Mayapada Internasional Tb,29 Agt 1997,25.906.179.152,Utama
284,MBAP,Mitrabara Adiperdana Tbk.,10 Jul 2014,1.227.271.952,Pengembangan
285,MBSS,Mitrabahtera Segara Sejati Tbk,06 Apr 2011,1.750.026.639,Utama
286,MBTO,Martina Berto Tbk.,13 Jan 2011,1.070.000.000,Pengembangan
287,MCOR,Bank China Construction Bank I,03 Jul 2007,37.540.533.209,Utama
288,MDIA,Intermedia Capital Tbk.,11 Apr 2014,39.215.538.400,Pengembangan
289,MDKA,Merdeka Copper Gold Tbk.,19 Jun 2015,24.472.983.771,Utama
290,MDLN,Modernland Realty Tbk.,18 Jan 1993,12.533.067.322,Pengembangan
291,MDRN,Modern Internasional Tbk.,16 Jul 1991,7.632.167.798,Pemantauan Khusus
292,MEDC,Medco Energi Internasional Tbk,12 Okt 1994,25.136.231.252,Utama
293,MEGA,Bank Mega Tbk.,17 Apr 2000,11.623.514.905,Utama
294,MERK,Merck Tbk.,23 Jul 1981,448.000.000,Pengembangan
295,META,Nusantara Infrastructure Tbk.,18 Jul 2001,17.710.708.194,Pengembangan
296,MFMI,Multifiling Mitra Indonesia Tb,29 Des 2010,757.581.000,Pemantauan Khusus
297,MGNA,Magna Investama Mandiri Tbk.,08 Jul 2014,3.410.972.325,Pengembangan
298,MICE,Multi Indocitra Tbk.,21 Des 2005,600.000.000,Pengembangan
299,MIDI,Midi Utama Indonesia Tbk.,30 Nov 2010,33.435.294.800,Utama
300,MIKA,Mitra Keluarga Karyasehat Tbk.,24 Mar 2015,13.907.481.500,Utama
301,MIRA,Mitra International Resources ,30 Jan 1997,3.961.452.039,Pemantauan Khusus
302,MITI,Mitra Investindo Tbk.,16 Jul 1997,3.750.526.603,Pengembangan
303,MKPI,Metropolitan Kentjana Tbk.,10 Jul 2009,948.194.000,Pengembangan
304,MLBI,Multi Bintang Indonesia Tbk.,15 Des 1981,2.107.000.000,Utama
305,MLIA,Mulia Industrindo Tbk,17 Jan 1994,6.615.000.000,Utama
306,MLPL,Multipolar Tbk.,06 Nov 1989,15.682.323.987,Utama
307,MLPT,Multipolar Technology Tbk.,08 Jul 2013,1.875.000.000,Pengembangan
308,MMLP,Mega Manunggal Property Tbk.,12 Jun 2015,6.889.134.608,Utama
309,MNCN,Media Nusantara Citra Tbk.,22 Jun 2007,15.049.787.710,Utama
310,MPMX,Mitra Pinasthika Mustika Tbk.,29 Mei 2013,4.386.963.276,Utama
311,MPPA,Matahari Putra Prima Tbk.,21 Des 1992,12.966.640.084,Pemantauan Khusus
312,MRAT,Mustika Ratu Tbk.,27 Jul 1995,428.000.000,Pengembangan
313,MREI,Maskapai Reasuransi Indonesia ,04 Sep 1989,517.791.681,Utama
314,MSKY,MNC Sky Vision Tbk.,09 Jul 2012,1.994.370.480,Pengembangan
315,MTDL,Metrodata Electronics Tbk.,09 Apr 1990,12.276.884.585,Utama
316,MTFN,Capitalinc Investment Tbk.,16 Apr 1990,31.842.082.852,Pemantauan Khusus
317,MTLA,Metropolitan Land Tbk.,20 Jun 2011,7.655.126.330,Utama
318,MTSM,Metro Realty Tbk.,08 Jan 1992,232.848.000,Pemantauan Khusus
319,MYOH,Samindo Resources Tbk.,27 Jul 2000,2.206.312.500,Pengembangan
320,MYOR,Mayora Indah Tbk.,04 Jul 1990,22.358.699.725,Utama
321,MYTX,Asia Pacific Investama Tbk.,10 Okt 1989,7.747.281.949,Pemantauan Khusus
322,NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Okt 2012,2.350.000.000,Pengembangan
323,NIKL,Pelat Timah Nusantara Tbk.,14 Des 2009,2.523.350.000,Pengembangan
324,NIRO,City Retail Developments Tbk.,13 Sep 2012,22.198.871.804,Pengembangan
325,NISP,Bank OCBC NISP Tbk.,20 Okt 1994,22.715.776.032,Utama
326,NOBU,Bank Nationalnobu Tbk.,20 Mei 2013,7.403.659.460,Pengembangan
327,NRCA,Nusa Raya Cipta Tbk.,27 Jun 2013,2.496.258.344,Pengembangan
328,OCAP,Onix Capital Tbk.,10 Okt 2003,273.200.000,Pemantauan Khusus
329,OKAS,Ancora Indonesia Resources Tbk,29 Mar 2006,2.373.449.165,Pengembangan
330,OMRE,Indonesia Prima Property Tbk,22 Agt 1994,2.945.211.000,Pemantauan Khusus
331,PADI,Minna Padi Investama Sekuritas,09 Jan 2012,11.307.246.524,Pemantauan Khusus
332,PALM,Provident Investasi Bersama Tb,08 Okt 2012,15.732.874.458,Pengembangan
333,PANR,Panorama Sentrawisata Tbk.,18 Sep 2001,1.387.500.000,Utama
334,PANS,Panin Sekuritas Tbk.,31 Mei 2000,720.000.000,Utama
335,PBRX,Pan Brothers Tbk.,16 Agt 1990,21.482.028.246,Pemantauan Khusus
336,PDES,Destinasi Tirta Nusantara Tbk,08 Jul 2008,715.000.000,Pengembangan
337,PEGE,Panca Global Kapital Tbk.,24 Jun 2005,2.833.417.056,Pengembangan
338,PGAS,Perusahaan Gas Negara (Persero,15 Des 2003,24.241.508.196,Utama
339,PGLI,Pembangunan Graha Lestari Inda,05 Apr 2000,488.000.000,Pengembangan
340,PICO,Pelangi Indah Canindo Tbk,23 Sep 1996,568.375.000,Pengembangan
341,PJAA,Pembangunan Jaya Ancol Tbk.,02 Jul 2004,1.599.999.996,Pengembangan
342,PKPK,Paragon Karya Perkasa Tbk.,11 Jul 2007,1.200.000.000,Pengembangan
343,PLAS,Polaris Investama Tbk,16 Mar 2001,1.184.200.000,Pemantauan Khusus
344,PLIN,Plaza Indonesia Realty Tbk.,15 Jun 1992,3.550.000.000,Pemantauan Khusus
345,PNBN,Bank Pan Indonesia Tbk,29 Des 1982,23.837.645.998,Utama
346,PNBS,Bank Panin Dubai Syariah Tbk.,15 Jan 2014,38.425.504.906,Pengembangan
347,PNIN,Paninvest Tbk.,20 Sep 1983,4.068.323.920,Utama
348,PNLF,Panin Financial Tbk.,14 Jun 1983,32.022.073.293,Utama
349,PSAB,J Resources Asia Pasifik Tbk.,22 Apr 2003,26.460.000.000,Pengembangan
350,PSDN,Prasidha Aneka Niaga Tbk,18 Okt 1994,1.440.000.000,Pengembangan
351,PSKT,Red Planet Indonesia Tbk.,19 Sep 1995,10.351.231.636,Pengembangan
352,PTBA,Bukit Asam (Persero) Tbk.,23 Des 2002,11.520.659.250,Utama
353,PTIS,Indo Straits Tbk.,12 Jul 2011,550.165.300,Pengembangan
354,PTPP,PP (Persero) Tbk.,09 Feb 2010,6.199.897.354,Utama
355,PTRO,Petrosea Tbk.,21 Mei 1990,10.086.050.000,Utama
356,PTSN,Sat Nusapersada Tbk,08 Nov 2007,5.314.344.000,Pengembangan
357,PTSP,Pioneerindo Gourmet Internatio,30 Mei 1994,220.808.000,Pengembangan
358,PUDP,Pudjiadi Prestige Tbk.,18 Nov 1994,659.120.000,Pengembangan
359,PWON,Pakuwon Jati Tbk.,09 Okt 1989,48.159.602.400,Utama
360,PYFA,Pyridam Farma Tbk,16 Okt 2001,11.236.694.419,Pengembangan
361,RAJA,Rukun Raharja Tbk.,19 Apr 2006,4.227.082.500,Utama
362,RALS,Ramayana Lestari Sentosa Tbk.,24 Jul 1996,7.096.000.000,Utama
363,RANC,Supra Boga Lestari Tbk.,07 Jun 2012,1.564.487.500,Pengembangan
364,RBMS,Ristia Bintang Mahkotasejati T,19 Des 1997,2.656.212.826,Pemantauan Khusus
365,RDTX,Roda Vivatex Tbk,14 Mei 1990,268.800.000,Pengembangan
366,RELI,Reliance Sekuritas Indonesia T,13 Jul 2005,1.800.000.000,Pengembangan
367,RICY,Ricky Putra Globalindo Tbk,22 Jan 1998,641.717.510,Pemantauan Khusus
368,RIGS,Rig Tenders Indonesia Tbk.,05 Mar 1990,609.130.000,Pengembangan
369,RIMO,Rimo International Lestari Tbk,10 Nov 2000,45.080.600.000,Pemantauan Khusus
370,RODA,Pikko Land Development Tbk.,22 Okt 2001,13.592.128.209,Pengembangan
371,ROTI,Nippon Indosari Corpindo Tbk.,28 Jun 2010,6.186.488.888,Pengembangan
372,RUIS,Radiant Utama Interinsco Tbk.,12 Jul 2006,770.000.000,Pengembangan
373,SAFE,Steady Safe Tbk,15 Agt 1994,821.207.512,Pengembangan
374,SAME,Sarana Meditama Metropolitan T,11 Jan 2013,17.147.132.545,Utama
375,SCCO,Supreme Cable Manufacturing & ,20 Jul 1982,822.333.600,Pengembangan
376,SCMA,Surya Citra Media Tbk.,16 Jul 2002,73.970.569.505,Utama
377,SCPI,Organon Pharma Indonesia Tbk.,08 Jun 1990,3.600.000,Pemantauan Khusus
378,SDMU,Sidomulyo Selaras Tbk.,12 Jul 2011,2.250.691.100,Pengembangan
379,SDPC,Millennium Pharmacon Internati,07 Mei 1990,1.274.000.000,Pengembangan
380,SDRA,Bank Woori Saudara Indonesia 1,15 Des 2006,14.545.267.990,Pengembangan
381,SGRO,Prime Agri Resources Tbk.,18 Jun 2007,1.818.622.000,Utama
382,SHID,Hotel Sahid Jaya International,08 Mei 1990,1.119.326.168,Pengembangan
383,SIDO,Industri Jamu dan Farmasi Sido,18 Des 2013,30.000.000.000,Utama
384,SILO,Siloam International Hospitals,12 Sep 2013,13.006.125.000,Utama
385,SIMA,Siwani Makmur Tbk,03 Jun 1994,442.589.871,Pemantauan Khusus
386,SIMP,Salim Ivomas Pratama Tbk.,09 Jun 2011,15.501.310.000,Utama
387,SIPD,Sreeya Sewu Indonesia Tbk.,27 Des 1996,1.839.102.056,Pengembangan
388,SKBM,Sekar Bumi Tbk.,28 Sep 2012,1.730.103.217,Pengembangan
389,SKLT,Sekar Laut Tbk.,08 Sep 1993,6.907.405.000,Pengembangan
390,SKYB,Northcliff Citranusa Indonesia,07 Jul 2010,585.000.000,Pemantauan Khusus
391,SMAR,Sinar Mas Agro Resources and T,20 Nov 1992,2.872.193.366,Utama
392,SMBR,Semen Baturaja (Persero) Tbk.,28 Jun 2013,9.932.534.336,Utama
393,SMCB,Solusi Bangun Indonesia Tbk.,10 Agt 1977,9.019.381.973,Pemantauan Khusus
394,SMDM,Suryamas Dutamakmur Tbk.,12 Okt 1995,4.772.138.237,Pengembangan
395,SMDR,Samudera Indonesia  Tbk.,05 Jul 1999,16.375.600.000,Utama
396,SMGR,Semen Indonesia (Persero) Tbk.,08 Jul 1991,6.751.540.089,Utama
397,SMMA,Sinarmas Multiartha Tbk.,05 Jul 1995,6.367.664.717,Utama
398,SMMT,Golden Eagle Energy Tbk.,01 Des 1997,3.425.000.000,Pengembangan
399,SMRA,Summarecon Agung Tbk.,07 Mei 1990,16.508.568.358,Utama
400,SMRU,SMR Utama Tbk.,10 Okt 2011,12.499.385.782,Pemantauan Khusus
401,SMSM,Selamat Sempurna Tbk.,09 Sep 1996,5.758.675.440,Utama
402,SOCI,Soechi Lines Tbk.,03 Des 2014,7.059.000.000,Pengembangan
403,SONA,Sona Topas Tourism Industry Tb,21 Jul 1992,662.400.000,Pengembangan
404,SPMA,Suparma Tbk.,16 Nov 1994,4.100.317.438,Pengembangan
405,SQMI,Wilton Makmur Indonesia Tbk.,15 Jul 2004,15.537.591.429,Pemantauan Khusus
406,SRAJ,Sejahteraraya Anugrahjaya Tbk.,11 Apr 2011,12.238.959.990,Pengembangan
407,SRIL,Sri Rejeki Isman Tbk.,17 Jun 2013,20.452.176.844,Pemantauan Khusus
408,SRSN,Indo Acidatama Tbk,11 Jan 1993,6.020.000.000,Pengembangan
409,SRTG,Saratoga Investama Sedaya Tbk.,26 Jun 2013,13.564.835.000,Utama
410,SSIA,Surya Semesta Internusa Tbk.,27 Mar 1997,4.705.249.440,Utama
411,SSMS,Sawit Sumbermas Sarana Tbk.,12 Des 2013,9.525.000.000,Utama
412,SSTM,Sunson Textile Manufacture Tbk,20 Agt 1997,1.170.909.181,Pengembangan
413,STAR,Buana Artha Anugerah Tbk.,13 Jul 2011,4.800.000.602,Pengembangan
414,STTP,Siantar Top Tbk.,16 Des 1996,1.310.000.000,Pengembangan
415,SUGI,Sugih Energy Tbk.,19 Jun 2002,24.811.541.414,Pemantauan Khusus
416,SULI,SLJ Global Tbk.,21 Mar 1994,6.320.776.836,Pengembangan
417,SUPR,Solusi Tunas Pratama Tbk.,11 Okt 2011,1.137.579.698,Pemantauan Khusus
418,TALF,Tunas Alfin Tbk.,17 Jan 2014,1.353.435.000,Pengembangan
419,TARA,Agung Semesta Sejahtera Tbk.,11 Jul 2014,10.069.645.750,Pemantauan Khusus
420,TAXI,Express Transindo Utama Tbk.,02 Nov 2012,10.223.647.156,Pemantauan Khusus
421,TBIG,Tower Bersama Infrastructure T,26 Okt 2010,22.656.999.445,Utama
422,TBLA,Tunas Baru Lampung Tbk.,14 Feb 2000,6.025.373.372,Utama
423,TBMS,Tembaga Mulia Semanan Tbk.,23 Mei 1990,734.680.000,Pengembangan
424,TCID,Mandom Indonesia Tbk.,30 Sep 1993,402.133.334,Pengembangan
425,TELE,Omni Inovasi Indonesia Tbk.,12 Jan 2012,7.310.929.389,Pemantauan Khusus
426,TFCO,Tifico Fiber Indonesia Tbk.,26 Feb 1980,4.823.076.400,Pemantauan Khusus
427,TGKA,Tigaraksa Satria Tbk.,11 Jun 1990,918.492.750,Pengembangan
428,TIFA,KDB Tifa Finance Tbk.,08 Jul 2011,3.552.213.000,Pengembangan
429,TINS,Timah Tbk.,19 Okt 1995,7.447.753.454,Utama
430,TIRA,Tira Austenite Tbk,27 Jul 1993,588.000.000,Pengembangan
431,TIRT,Tirta Mahakam Resources Tbk,13 Des 1999,1.011.774.750,Pemantauan Khusus
432,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,03 Apr 1990,3.113.223.570,Utama
433,TLKM,Telkom Indonesia (Persero) Tbk,14 Nov 1995,99.062.216.600,Utama
434,TMAS,Temas Tbk.,09 Jul 2003,57.051.500.000,Utama
435,TMPO,Tempo Intimedia Tbk.,08 Jan 2001,1.058.333.250,Pengembangan
436,TOBA,TBS Energi Utama Tbk.,06 Jul 2012,8.257.402.931,Utama
437,TOTL,Total Bangun Persada Tbk.,25 Jul 2006,3.410.000.000,Utama
438,TOTO,Surya Toto Indonesia Tbk.,30 Okt 1990,10.320.000.000,Pengembangan
439,TOWR,Sarana Menara Nusantara Tbk.,08 Mar 2010,59.098.103.731,Utama
440,TPIA,Chandra Asri Pacific Tbk.,26 Mei 2008,86.511.545.092,Pengembangan
441,TPMA,Trans Power Marine Tbk.,20 Feb 2013,3.507.420.034,Utama
442,TRAM,Trada Alam Minera Tbk.,10 Sep 2008,49.643.627.934,Pemantauan Khusus
443,TRIL,Triwira Insanlestari Tbk.,28 Jan 2008,1.200.000.000,Pemantauan Khusus
444,TRIM,Trimegah Sekuritas Indonesia T,31 Jan 2000,7.109.300.000,Utama
445,TRIO,Trikomsel Oke Tbk.,14 Apr 2009,26.007.494.645,Pemantauan Khusus
446,TRIS,Trisula International Tbk.,28 Jun 2012,3.141.443.831,Pengembangan
447,TRST,Trias Sentosa Tbk.,02 Jul 1990,2.808.000.000,Pengembangan
448,TRUS,Trust Finance Indonesia Tbk,28 Nov 2002,800.000.000,Pengembangan
449,TSPC,Tempo Scan Pacific Tbk.,17 Jun 1994,4.509.864.300,Utama
450,ULTJ,Ultrajaya Milk Industry & Trad,02 Jul 1990,10.398.175.200,Utama
451,UNIC,Unggul Indah Cahaya Tbk.,06 Nov 1989,383.331.363,Utama
452,UNIT,Nusantara Inti Corpora Tbk,18 Apr 2002,75.422.200,Pengembangan
453,UNSP,Bakrie Sumatera Plantations Tb,06 Mar 1990,2.500.162.344,Pemantauan Khusus
454,UNTR,United Tractors Tbk.,19 Sep 1989,3.730.135.136,Utama
455,UNVR,Unilever Indonesia Tbk.,11 Jan 1982,38.150.000.000,Utama
456,VICO,Victoria Investama Tbk.,08 Jul 2013,15.217.075.658,Utama
457,VINS,Victoria Insurance Tbk.,28 Sep 2015,1.553.430.759,Pengembangan
458,VIVA,Visi Media Asia Tbk.,21 Nov 2011,16.464.270.400,Pemantauan Khusus
459,VOKS,Voksel Electric Tbk.,20 Des 1990,4.155.602.595,Pengembangan
460,VRNA,Mizuho Leasing Indonesia Tbk.,25 Jun 2008,5.687.353.997,Pengembangan
461,WAPO,Wahana Pronatural Tbk.,22 Jun 2001,1.240.923.111,Pengembangan
462,WEHA,WEHA Transportasi Indonesia Tb,31 Mei 2007,1.460.554.819,Pengembangan
463,WICO,Wicaksana Overseas Internation,08 Agt 1994,2.393.710.348,Pemantauan Khusus
464,WIIM,Wismilak Inti Makmur Tbk.,18 Des 2012,2.099.873.760,Utama
465,WIKA,Wijaya Karya (Persero) Tbk.,29 Okt 2007,39.873.063.858,Pemantauan Khusus
466,WINS,Wintermar Offshore Marine Tbk.,29 Nov 2010,4.460.988.262,Utama
467,WOMF,Wahana Ottomitra Multiartha Tb,13 Des 2004,3.481.481.480,Pengembangan
468,WSKT,Waskita Karya (Persero) Tbk.,19 Des 2012,28.806.807.016,Pemantauan Khusus
469,WTON,Wijaya Karya Beton Tbk.,08 Apr 2014,8.715.466.600,Utama
470,YPAS,Yanaprima Hastapersada Tbk,05 Mar 2008,668.000.089,Pengembangan
471,YULE,Yulie Sekuritas Indonesia Tbk.,10 Des 2004,1.785.000.000,Pengembangan
472,ZBRA,Dosni Roha Indonesia Tbk.,01 Agt 1991,2.510.706.263,Pemantauan Khusus
473,SHIP,Sillo Maritime Perdana Tbk.,16 Jun 2016,2.719.790.000,Utama
474,CASA,Capital Financial Indonesia Tb,19 Jul 2016,54.476.269.803,Pengembangan
475,DAYA,Duta Intidaya Tbk.,28 Jun 2016,2.420.547.025,Pengembangan
476,DPUM,Dua Putra Utama Makmur Tbk.,08 Des 2015,4.175.000.000,Pengembangan
477,IDPR,Indonesia Pondasi Raya Tbk.,10 Des 2015,2.003.000.000,Pengembangan
478,JGLE,Graha Andrasentra Propertindo ,29 Jun 2016,22.581.909.405,Pemantauan Khusus
479,KINO,Kino Indonesia Tbk.,11 Des 2015,1.428.571.500,Pengembangan
480,MARI,Mahaka Radio Integra Tbk.,11 Feb 2016,5.252.644.000,Pemantauan Khusus
481,MKNT,Mitra Komunikasi Nusantara Tbk,26 Okt 2015,5.500.000.000,Pemantauan Khusus
482,MTRA,Mitra Pemuda Tbk.,10 Feb 2016,770.000.000,Pemantauan Khusus
